Handle, BlitzRating, BlitzRD, BlitzWon, BlitzLost, BlitzDrawn, BlitzTotal
Aeppler, 1341, 29.1, 5199, 5003, 584, 10786
Aerandir, 1114, 49.0, 344, 471, 30, 845
Aeriose, 1206, 40.5, 1390, 2108, 113, 3611
aerohugo, 1079, 194.3, 1, 4, 0, 5
aeroporos, 1693, 204.9, 1, 2, 0, 3
aesbee, 1540, 39.7, 1143, 763, 91, 1997
AFalcon, 1162, 52.9, 4219, 6592, 349, 11160
AFCERGY, 1539, 17.7, 14187, 9999, 1934, 26120
afeemomo, 1299, 23.6, 675, 1196, 52, 1923
afegasta, 2036, 113.6, 1080, 948, 156, 2184
affinor, 1223, 109.7, 57, 53, 1, 111
afinkler, 1614, 144.7, 31, 13, 1, 45
AFishInSea, 1813, 93.4, 3435, 3401, 588, 7424
AflacDuck, 2013, 44.7, 1867, 1337, 209, 3413
africanviper, 1336, 69.6, 26, 25, 1, 52
agashish, 1529, 48.4, 4361, 5143, 152, 9656
agatha, 1175, 116.6, 1073, 890, 98, 2061
agavefish, 1537, 22.2, 1786, 2142, 246, 4174
Agazo, 1329, 48.4, 32, 37, 4, 73
agelessdreams, 1735, 102.9, 376, 373, 53, 802
agelos, 1527, 31.9, 656, 400, 34, 1090
agentsofchan, 1681, 59.2, 699, 515, 37, 1251
aggersbot, 1766, 167.8, 1548, 1379, 173, 3100
Aggresivation, 1100, 54.5, 112, 169, 6, 287
agiantpanda, 1029, 112.2, 79, 124, 4, 207
agios, 1462, 42.7, 4229, 4779, 439, 9447
agissler, 1419, 32.5, 5983, 5878, 383, 12244
agjcmlsa, 1408, 29.6, 1204, 1438, 130, 2772
agkazama, 1310, 72.1, 2924, 2156, 161, 5241
agnusMJ, 1266, 254.0, 25, 23, 3, 51
agraw, 1274, 80.6, 41, 27, 1, 69
agression, 870, 133.6, 72, 73, 4, 149
Agriculteur, 1257, 54.5, 317, 355, 16, 688
agrimil, 1370, 15.1, 4139, 9546, 426, 14111
AGtrader, 1868, 24.5, 824, 793, 73, 1690
AGuerra, 1585, 86.7, 30, 52, 4, 86
aguinaldoeric, 1300, 42.8, 148, 228, 6, 382
agusmw, 1283, 81.4, 477, 386, 23, 886
AgustinVictor, 1356, 117.5, 710, 771, 58, 1539
Agweyre, 1801, 90.4, 838, 1044, 99, 1981
ahattar, 1229, 24.0, 8217, 7946, 527, 16690
ahdtjs, 1305, 46.4, 4710, 4182, 96, 8988
Ahktavius, 1097, 68.4, 224, 385, 14, 623
AhmedELdengawy, 1541, 108.5, 20, 20, 3, 43
AhmedFayz, 1489, 17.8, 5223, 5910, 398, 11531
AhNeow, 1256, 25.9, 7472, 14961, 560, 22993
AHnig, 1884, 218.8, 70, 58, 6, 134
ahorse, 1265, 37.1, 2804, 2421, 190, 5415
ahphong, 1576, 31.6, 3577, 1626, 130, 5333
ahrelep, 1324, 48.5, 162, 149, 14, 325
aidalin, 1153, 134.6, 43, 30, 6, 79
Aidanik, 1219, 77.5, 81, 99, 7, 187
Aighearach, 1481, 53.6, 1186, 598, 76, 1860
ailesbury, 1527, 35.2, 1779, 1798, 132, 3709
Aiman, 1582, 36.2, 11222, 7833, 803, 19858
ainong, 998, 60.2, 128, 352, 10, 490
aintnobalogne, 1056, 67.1, 1059, 1235, 55, 2349
airbender, 1691, 32.4, 2207, 2103, 182, 4492
airbornepoet, 979, 35.1, 60, 109, 5, 174
aire, 1537, 37.8, 7843, 9688, 1624, 19155
airstrike, 1789, 33.0, 5895, 5217, 529, 11641
aisyah, 1329, 147.5, 9, 6, 0, 15
aizeder, 968, 45.9, 442, 715, 20, 1177
Aizenmyoo, 1675, 36.5, 498, 198, 27, 723
AJAddison, 1072, 68.6, 3214, 4555, 439, 8208
ajatusir, 1213, 186.9, 1, 15, 0, 16
ajaytripathi, 874, 56.0, 100, 576, 3, 679
ajcchess, 1216, 90.6, 543, 429, 37, 1009
ajedor, 1718, 39.6, 2644, 3994, 348, 6986
Ajedreitor, 1379, 22.9, 1315, 1250, 137, 2702
ajgg, 1552, 55.5, 477, 264, 18, 759
Ajido, 2033, 92.8, 95, 33, 11, 139
AJIT, 1579, 21.9, 6135, 6023, 423, 12581
ajkezier, 1132, 28.5, 3113, 3552, 401, 7066
ajlo, 1267, 30.0, 5125, 4460, 460, 10045
ajmaradict, 1523, 34.3, 706, 427, 16, 1149
akabel, 1154, 48.2, 1799, 2580, 240, 4619
akalamkam, 1673, 25.8, 1391, 1479, 116, 2986
Akamaru, 1451, 47.4, 651, 589, 66, 1306
akapro, 1198, 256.0, 1, 3, 0, 4
AkaRengaWareHouse, 1587, 46.2, 2597, 2728, 247, 5572
Akarubi, 1336, 58.1, 165, 218, 14, 397
AkbarDeeN, 917, 50.9, 461, 526, 24, 1011
akde, 1678, 77.5, 472, 765, 93, 1330
AKFan, 1545, 42.0, 407, 329, 43, 779
AKIKO, 1459, 25.2, 778, 549, 43, 1370
akonspb, 1382, 34.0, 650, 759, 67, 1476
akots, 1849, 25.9, 7350, 8052, 1315, 16717
akramer, 749, 122.3, 3, 18, 0, 21
Akrapovics, 2003, 203.3, 4, 0, 0, 4
aksakal, 1235, 92.6, 17, 41, 5, 63
aksol, 1096, 69.3, 407, 545, 44, 996
akuakuka, 1156, 80.1, 811, 1243, 47, 2101
Akujit, 1357, 34.9, 5456, 5134, 413, 11003
akumba, 1434, 45.8, 1912, 3083, 124, 5119
akurmus, 1398, 43.2, 1089, 962, 48, 2099
Aladinone, 1589, 88.9, 1815, 2658, 216, 4689
alafuzos, 1892, 33.9, 2066, 1614, 250, 3930
Alahambra, 2014, 51.7, 1703, 1386, 229, 3318
alaly, 1376, 50.5, 6401, 6286, 514, 13201
AlanBes, 1540, 35.3, 6203, 5053, 624, 11880
alang, 1381, 26.3, 5246, 7384, 370, 13000
AlanJBear, 1252, 32.3, 613, 449, 17, 1079
alankur, 794, 145.6, 1, 7, 0, 8
AlanPeter, 1295, 31.9, 5360, 3153, 288, 8801
alansilb, 1431, 32.1, 7963, 8281, 526, 16770
Alaperinola, 1317, 49.3, 2117, 2779, 163, 5059
Alatif, 1100, 48.7, 296, 309, 19, 624
Albakshakasparov, 798, 92.2, 9, 129, 0, 138
albaregia, 1512, 79.8, 4973, 3291, 451, 8715
alberecht, 1183, 35.1, 3015, 2999, 247, 6261
albertje, 1789, 315.1, 1, 0, 0, 1
albertokeizer, 1218, 35.4, 99, 99, 10, 208
albertpinto, 1615, 50.5, 4155, 5630, 677, 10462
albertraines, 1303, 49.0, 318, 329, 13, 660
AlBig, 1882, 26.0, 15512, 12932, 1229, 29673
albinbinoo, 1465, 78.5, 90, 66, 2, 158
albrerttgt, 1455, 83.1, 6501, 7637, 223, 14361
albyelv, 1600, 125.5, 1888, 1837, 230, 3955
Albyrdee, 1554, 26.9, 3120, 1764, 234, 5118
Alcalientre, 1047, 51.9, 269, 559, 11, 839
Alcantrix, 1589, 39.2, 760, 370, 50, 1180
alcecla, 1212, 50.6, 481, 602, 11, 1094
aldac, 1402, 33.0, 6392, 3411, 274, 10077
aldair, 1692, 37.8, 6957, 5947, 692, 13596
ALDERIEX, 1452, 59.3, 2789, 4357, 481, 7627
Aldol, 1135, 72.9, 185, 167, 26, 378
aldrich, 1357, 90.6, 22, 29, 3, 54
Aldur, 1356, 93.9, 3472, 2297, 267, 6036
AlecCharles, 923, 119.3, 42, 262, 1, 305
Alechiel, 1719, 97.3, 997, 1592, 96, 2685
alechinez, 1117, 33.8, 1251, 863, 66, 2180
alechinfanous, 1505, 57.4, 80, 72, 15, 167
aleco, 1170, 37.6, 3192, 6131, 285, 9608
Alecs, 1808, 29.0, 8595, 10184, 1009, 19788
Alectryon, 1455, 40.8, 993, 791, 83, 1867
alefff, 1174, 30.3, 1133, 1032, 43, 2208
Alejandreuta, 1569, 35.1, 1564, 1636, 99, 3299
AlejandroM, 1208, 34.2, 2296, 2260, 151, 4707
AlejoNP, 1684, 27.6, 6649, 5399, 638, 12686
alekhinecapablanc, 1575, 41.9, 1601, 2552, 172, 4325
AlekhineDeepSix, 1319, 26.1, 422, 963, 25, 1410
AlekseySaushkin, 1202, 35.5, 337, 409, 54, 800
alenabab, 1257, 25.7, 4192, 4845, 340, 9377
alepet, 1030, 28.6, 427, 1184, 45, 1656
Aleric, 1540, 67.2, 3900, 3215, 388, 7503
aleshakkk, 1472, 22.6, 11103, 21335, 1619, 34057
Alexab, 1963, 30.2, 808, 290, 132, 1230
Alexach, 675, 124.5, 9, 89, 2, 100
AlexanderG, 1413, 32.0, 4801, 5307, 492, 10600
AlexanderPavluk, 1536, 87.5, 19, 11, 2, 32
AlexanderQ, 1057, 43.2, 410, 708, 17, 1135
AlexandraThess, 1629, 42.2, 705, 611, 77, 1393
alexanka, 1136, 88.6, 287, 287, 7, 581
AlexBaban, 1598, 44.4, 6720, 8409, 362, 15491
alexbena, 1495, 46.3, 153, 428, 32, 613
alexborz, 1467, 34.2, 878, 788, 77, 1743
alexbtx, 1321, 75.4, 384, 329, 43, 756
alexca, 1544, 27.0, 9993, 16222, 1114, 27329
AlexCEC, 1258, 72.9, 632, 915, 106, 1653
alexe, 1395, 24.6, 9174, 7437, 425, 17036
AlexeiJC, 1550, 78.1, 76, 23, 1, 100
AlexeyBogado, 1400, 33.7, 1763, 1123, 122, 3008
alexFzero, 951, 137.9, 5, 22, 0, 27
alexinaustin, 1303, 109.4, 4444, 3993, 280, 8717
alexmusic, 1277, 24.0, 3342, 2609, 405, 6356
alexradulescu, 1311, 33.4, 2046, 2902, 320, 5268
AlexRandom, 1543, 53.5, 1200, 1244, 135, 2579
AlexRodriguezX, 929, 84.6, 44, 136, 3, 183
alexstclaire, 1785, 29.5, 600, 569, 49, 1218
AlexusII, 1588, 32.8, 13324, 9875, 1008, 24207
alexyouknow, 1712, 79.5, 5425, 6325, 581, 12331
alexzandros, 1186, 39.1, 59, 83, 5, 147
alfabio, 1470, 56.7, 2615, 3891, 268, 6774
alfamus, 1992, 96.7, 143, 138, 19, 300
alffrevann, 973, 41.3, 1141, 2576, 55, 3772
AlfGarnett, 1714, 80.7, 453, 170, 41, 664
alfredisimo, 1340, 21.6, 6988, 5615, 473, 13076
alfreditopiano, 1315, 104.1, 182, 242, 20, 444
alfredthefourth, 1310, 47.6, 1024, 889, 70, 1983
alfXX, 1368, 54.7, 6773, 5301, 378, 12452
AlgozBR, 1360, 24.4, 2655, 3332, 185, 6172
Algwynn, 1428, 31.6, 2870, 3906, 230, 7006
AlheeKing, 1238, 21.2, 3061, 5645, 257, 8963
Alicffxi, 1394, 55.5, 1795, 2268, 173, 4236
AlienEyes, 1392, 45.0, 2300, 2726, 328, 5354
AlienFever, 980, 30.4, 1281, 1137, 46, 2464
AlienInvasion, 1470, 138.5, 5, 11, 0, 16
AlienKing, 1451, 38.8, 1112, 858, 104, 2074
Alieth, 1848, 68.6, 483, 300, 30, 813
alifant, 1902, 31.0, 803, 453, 37, 1293
aligre, 1267, 37.7, 2545, 2903, 126, 5574
alikan, 979, 86.0, 49, 87, 1, 137
alikshay, 1820, 76.9, 131, 53, 9, 193
alili, 1113, 344.5, 0, 1, 0, 1
aliojin, 1461, 71.6, 3205, 3867, 358, 7430
alipax, 1222, 51.9, 1237, 1124, 62, 2423
alito, 1667, 43.6, 2176, 2458, 307, 4941
alittletempo, 1512, 50.0, 400, 300, 31, 731
Aliver, 1277, 60.2, 316, 308, 29, 653
Aliyah, 1866, 67.8, 1913, 914, 112, 2939
Aljohin, 1926, 58.7, 939, 1489, 185, 2613
alkeksibus, 1482, 33.1, 4754, 4079, 329, 9162
allanzhao, 1269, 56.3, 420, 740, 33, 1193
AllAroundButcher, 678, 126.2, 12, 139, 2, 153
alldeadwhiteboys, 1129, 112.4, 351, 677, 19, 1047
allegories, 1411, 41.4, 1549, 2527, 176, 4252
allegroknight, 968, 175.0, 99, 255, 6, 360
allencox, 1104, 33.8, 471, 592, 43, 1106
Allenko, 1182, 19.3, 662, 1248, 41, 1951
allenm, 1277, 49.7, 3040, 3610, 272, 6922
allenpaul, 1057, 169.3, 180, 161, 19, 360
Allensieah, 1221, 142.5, 7, 10, 1, 18
Allest, 1509, 108.9, 2486, 1187, 142, 3815
Allexx, 1581, 37.6, 7090, 9196, 626, 16912
alleyn, 1440, 28.4, 3438, 2465, 168, 6071
Alliance, 1781, 168.1, 14, 11, 0, 25
allman, 1519, 27.4, 4820, 6510, 530, 11860
allowmartin, 858, 71.6, 11, 114, 2, 127
ALLtheTIME, 1796, 108.8, 5040, 3192, 424, 8656
Allykind, 1540, 71.1, 456, 444, 37, 937
aLmaLja, 981, 101.6, 765, 955, 12, 1732
almart, 1629, 143.3, 42, 12, 3, 57
almcr, 1199, 47.9, 2389, 2055, 292, 4736
AlMina, 1450, 106.0, 3537, 3382, 228, 7147
alms, 1821, 112.5, 2968, 2811, 513, 6292
almujahid, 1313, 76.9, 2585, 2816, 180, 5581
Almuradour, 1235, 65.4, 2509, 3078, 336, 5923
alohachess, 897, 73.4, 13, 29, 2, 44
Alohajim, 1270, 49.7, 1753, 1915, 186, 3854
alokdk, 1298, 35.4, 3200, 5466, 291, 8957
alonm, 1935, 30.0, 12596, 9628, 1381, 23605
Alop, 1192, 134.9, 11, 56, 1, 68
ALorioli, 1357, 59.0, 767, 1505, 76, 2348
ALostArt, 1384, 68.5, 759, 594, 41, 1394
aloveregis, 1811, 117.2, 443, 314, 26, 783
Alparslan, 1763, 68.4, 1185, 1130, 145, 2460
alphafoxtrot, 1511, 92.1, 823, 965, 67, 1855
alphastirke, 1177, 115.4, 611, 670, 26, 1307
Alquinte, 1063, 28.3, 2471, 2676, 121, 5268
alra, 1312, 44.9, 8239, 8209, 368, 16816
alrowan, 1272, 79.7, 783, 648, 28, 1459
Alsace, 1237, 33.7, 4241, 5473, 392, 10106
ALSHAMI, 1811, 46.4, 706, 763, 52, 1521
Altais, 1685, 87.0, 253, 201, 23, 477
AlteSchlunze, 1789, 29.8, 10958, 4428, 702, 16088
AltNto, 1088, 103.7, 209, 305, 6, 520
ALTOTAS, 1353, 37.5, 4356, 4234, 472, 9062
Altrip, 1522, 56.0, 2563, 1429, 178, 4170
altrortla, 1218, 32.9, 4244, 6279, 301, 10824
alupihan, 1327, 121.5, 21, 11, 1, 33
Alvatrus, 1248, 44.0, 2407, 1184, 183, 3774
Alvenko, 1872, 38.8, 404, 300, 63, 767
alvinccruz, 1399, 55.6, 808, 421, 51, 1280
AlvinShow, 1164, 107.5, 3, 16, 0, 19
alvishvinci, 1848, 56.4, 87, 47, 5, 139
Alvruocnar, 1678, 26.3, 4796, 4460, 843, 10099
alwayslearning, 779, 164.9, 1862, 1461, 170, 3493
alwaysultra, 1592, 66.5, 829, 817, 114, 1760
alxandre, 1096, 139.3, 1234, 1131, 97, 2462
alxsb, 1557, 22.1, 9975, 11703, 1320, 22998
Amadaus, 1034, 188.3, 0, 4, 0, 4
amanecer, 1283, 33.0, 569, 689, 27, 1285
amanitedjowongso, 690, 198.0, 0, 7, 0, 7
amaranand, 1117, 95.5, 121, 177, 6, 304
AMART, 1268, 49.0, 867, 996, 62, 1925
amateuratlast, 1583, 23.8, 10561, 10936, 1513, 23010
AmauriDantas, 1336, 42.7, 1288, 1072, 125, 2485
Amauta, 1520, 54.7, 436, 177, 31, 644
AMAVABEL, 1607, 24.4, 2336, 2611, 262, 5209
amaysing, 1528, 78.3, 74, 30, 3, 107
Amazon, 1312, 32.5, 5475, 5773, 420, 11668
AmbiDexter, 2124, 32.7, 3625, 4617, 708, 8950
ambion, 947, 98.8, 561, 934, 44, 1539
Ambot, 1197, 23.8, 1039, 2164, 114, 3317
Amedeus, 1168, 35.1, 703, 716, 38, 1457
AmericanGreed, 1523, 83.8, 255, 279, 41, 575
AmexJam, 960, 120.2, 33, 57, 2, 92
amiableCDN, 1231, 86.2, 5385, 2651, 275, 8311
AmigaJim, 1276, 141.3, 35, 40, 0, 75
AMilli, 1568, 26.7, 471, 314, 36, 821
aminayag, 1361, 64.7, 2354, 2510, 178, 5042
aminkhan, 1360, 69.3, 4328, 2887, 282, 7497
AMirela, 1140, 31.5, 5325, 4429, 274, 10028
amirelattar, 1133, 36.2, 2423, 2487, 203, 5113
Amirh, 1674, 83.0, 2944, 4036, 329, 7309
AMITAF, 1399, 26.6, 8944, 3451, 793, 13188
amiteshnagarwal, 1134, 158.3, 0, 13, 0, 13
amitindia, 917, 105.5, 33, 88, 1, 122
amitmalhotra, 932, 112.2, 36, 107, 4, 147
AmmirAdj, 1241, 112.9, 19, 62, 0, 81
Ammunition, 1465, 125.9, 1541, 1385, 98, 3024
amolv, 1362, 27.7, 2364, 1922, 199, 4485
AMoveAhead, 1507, 30.3, 1233, 2091, 133, 3457
AmpedAl, 975, 52.5, 481, 1272, 41, 1794
ampersand, 1960, 61.2, 283, 44, 13, 340
Amphibion, 1640, 53.5, 494, 456, 84, 1034
amphiprion, 1325, 49.9, 90, 106, 3, 199
ampiong, 1386, 43.3, 71, 26, 2, 99
ampkro, 1350, 47.1, 1180, 872, 65, 2117
Amplify, 1227, 72.5, 281, 320, 28, 629
ampyjoe, 1368, 29.8, 5059, 5733, 297, 11089
amr, 1782, 50.9, 15483, 11221, 1553, 28257
AmsterdamSlim, 1954, 33.8, 3848, 2038, 577, 6463
AmyLee, 2053, 76.6, 196, 93, 14, 303
ANABAS, 1674, 106.9, 185, 164, 25, 374
anachronism, 1592, 29.2, 1447, 1280, 188, 2915
anahita, 1442, 117.2, 735, 1290, 79, 2104
anail, 1387, 116.8, 10, 15, 0, 25
Anakreon, 913, 350.0, 0, 2, 0, 2
AnalyticVI, 825, 137.2, 0, 50, 0, 50
anamyik, 1097, 29.9, 1813, 2792, 181, 4786
anandjoshi, 1346, 127.2, 14, 35, 3, 52
anandk, 1513, 31.6, 3442, 6222, 698, 10362
anandkvs, 1737, 44.4, 6337, 5334, 567, 12238
Anarchbishop, 1232, 75.9, 352, 391, 29, 772
Anarchyrules, 977, 90.4, 37, 27, 3, 67
Anarquico, 1194, 44.0, 1714, 3503, 89, 5306
anatoliakin, 1257, 54.2, 1894, 2835, 198, 4927
Andaluzito, 1068, 53.4, 727, 1041, 73, 1841
ANDGREG, 1285, 126.9, 907, 868, 77, 1852
AndHar, 1291, 50.2, 1575, 965, 63, 2603
andhh, 1220, 36.9, 1408, 1629, 134, 3171
AndMorg, 1466, 102.1, 45, 30, 2, 77
AndN, 1806, 21.3, 2671, 2764, 376, 5811
andna, 1919, 272.5, 1, 0, 0, 1
andonehotsauce, 1050, 96.3, 128, 274, 17, 419
andragona, 1012, 33.3, 1174, 2049, 64, 3287
andreale, 1086, 79.3, 2187, 3027, 183, 5397, 1781, 28.6, 51256, 25401, 2517, 79174
AndreD, 1856, 191.3, 2419, 1515, 159, 4093
andreialex, 1167, 37.0, 1973, 2076, 87, 4136
andreiasw, 1037, 86.0, 92, 159, 4, 255
andrejas, 1115, 44.5, 1165, 1076, 61, 2302
AndreNY, 1075, 102.3, 11, 147, 6, 164
andreomr, 1278, 75.6, 1921, 1744, 107, 3772
andrepcrs, 1121, 67.2, 152, 279, 6, 437
AndresChess, 946, 122.5, 56, 113, 3, 172
AndresElPez, 1080, 28.7, 242, 384, 20, 646
andresfhernandez, 1539, 30.5, 3745, 3382, 225, 7352
andreskata, 1054, 63.6, 136, 118, 11, 265
AndreSoares, 1232, 90.7, 2307, 3539, 267, 6113
AndrewAJ, 1536, 27.4, 4981, 6221, 215, 11417
AndrewCrotty, 1426, 41.7, 3140, 3951, 356, 7447
AndrewGuest, 944, 171.4, 1, 5, 0, 6
andrewparis, 1366, 22.9, 2318, 2615, 194, 5127
AndrewRR, 1461, 43.3, 1867, 1601, 213, 3681
Andriitis, 1126, 54.9, 1105, 1914, 152, 3171
androidcell, 1375, 107.7, 656, 741, 96, 1493
Andropov, 1539, 33.0, 6118, 5660, 647, 12425
andyalex, 1266, 39.5, 1040, 1393, 90, 2523
andyandyw, 2042, 32.0, 4721, 2492, 592, 7805
andyba, 772, 167.0, 48, 182, 0, 230
andybeech, 1547, 42.6, 3603, 3499, 189, 7291
andycappablanca, 1616, 51.5, 1941, 880, 75, 2896
andygross, 1136, 105.0, 5, 26, 0, 31
andyhot, 1992, 54.0, 2679, 2157, 270, 5106
